GRAIN,METRIC_VALUE
Jan 2012,3332
Feb 2012,3576
Apr 2012,3646
May 2012,4026
Jun 2012,3841
Jul 2012,3315
Aug 2012,3843
Sep 2012,3979
Oct 2012,5270
Nov 2012,4926
Dec 2012,3423
Jan 2013,4849
Feb 2013,5728
Mar 2013,5059
Apr 2013,5298
May 2013,4060
Jun 2013,4086
Aug 2013,4290
Sep 2013,4817
Oct 2013,5492
Nov 2013,5680
Dec 2013,4879
Jan 2014,6668
Feb 2014,6755
Mar 2014,7629
Apr 2014,7986
May 2014,8097
Jun 2014,7196
Jul 2014,6866
Aug 2014,7494
Sep 2014,7780
Oct 2014,8809
Nov 2014,9276
Dec 2014,8020
Jan 2015,9187
Feb 2015,9204
Mar 2015,10734
Apr 2015,10184
May 2015,10504
Jun 2015,10671
Jul 2015,10780
Aug 2015,9964
Sep 2015,11016
Oct 2015,11249
Nov 2015,11332
Dec 2015,9750
